Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.42308020610164,9.367475785791324;"{""type"": ""Point"", ""coordinates"": [9.367475785791324, 47.42308020610164]}";unbekannt;Aus- und Weiterbildung;Fachhochschule OST;;Postfach 627;;;;Rosenbergstrasse 59;St.Gallen;Schweiz;;Anzahl: 1, erdgasbetrieben;;41712261600;;41712261601;9001
47.4368152263,9.39284557366;"{""type"": ""Point"", ""coordinates"": [9.392845573655421, 47.436815226331184]}";unbekannt;Kindergärten;Kindergarten Buchwaldstrasse;;;;;;Buchwaldstrasse 9;St.Gallen;Schweiz;;;;41714992079;;;9008
47.4287072146,9.39654621091;"{""type"": ""Point"", ""coordinates"": [9.39654621091467, 47.42870721463422]}";;Spielgruppen;Spielgruppe Pandabärli;;;;Emanuela;Urgesi;Goldbrunnenweg 2;St.Gallen;Schweiz;;;;;41797177183;;9000
47.4169464024,9.36583523946;"{""type"": ""Point"", ""coordinates"": [9.36583523946052, 47.41694640236561]}";;Spielgruppen;Spielgruppe St.Leonhard-Tschudiwies;;;;Emanuela;Ceglie-Sparta;Tschudistrasse 21;St.Gallen;Schweiz;;;;;41762226748;;9000
47.4094418898,9.33115107155;"{""type"": ""Point"", ""coordinates"": [9.331151071547522, 47.409441889841744]}";;Spielgruppen;Spielgruppe Engelwies;;;;Amanda;Then;Zürcher Strasse 257;St.Gallen;Schweiz;;;;;41763084144;;9014
47.4242183516,9.40186845779;"{""type"": ""Point"", ""coordinates"": [9.40186845779267, 47.42421835156489]}";;Spielgruppen;Spielgruppe Pandabärli;Bauernhof Notkersegg;;;Emanuela;Urgesi;Bauernhof Notkersegg;St.Gallen;Schweiz;;;;;41797177183;;9011
47.4254466934,9.37689590153;"{""type"": ""Point"", ""coordinates"": [9.376895901526723, 47.42544669343693]}";;Spielgruppen;Spielgruppe Räupli Pu;;;;Marlene;Conrad;Spitalgasse 8a;St.Gallen;Schweiz;;;;;41765950233;;9000
47.4371829028,9.39188011289;"{""type"": ""Point"", ""coordinates"": [9.391880112886005, 47.43718290281387]}";;Spielgruppen;Spielgruppe Buchwald Müsli;;;;Andrea;Tanner;Kolosseumstrasse 14;St.Gallen;Schweiz;;Wald-Spielgruppe auch im Angebot;;;41796883542;;9008
47.4036221691,9.33875499237;"{""type"": ""Point"", ""coordinates"": [9.338754992372428, 47.403622169058444]}";;Spielgruppen;Spielgruppe Boppartshof;;;;Barbara;Rüesch-Kühnis;Wolfgangstrasse 2;St.Gallen;Schweiz;;;;41712782246;41796636622;;9000
47.4266836453,9.38386391155;"{""type"": ""Point"", ""coordinates"": [9.383863911553718, 47.42668364534524]}";unbekannt;Kindergärten;Kindergarten Florastrasse;;;;;;Florastrasse 5;St.Gallen;Schweiz;;;;41714992268;;;9000
47.4297283511,9.38106413849;"{""type"": ""Point"", ""coordinates"": [9.381064138486979, 47.42972835112445]}";;Kindergärten;Kindergarten Spelterini;;;;;;Sonnenstrasse 16;St.Gallen;Schweiz;;;;41714992267;;;9000
47.4350195629,9.41001460461;"{""type"": ""Point"", ""coordinates"": [9.410014604610014, 47.435019562898596]}";unbekannt;Kindergärten;Kindergarten Achslenweg 10a I;;;;;;Achslenweg 10;St.Gallen;Schweiz;;;;+;;;9016
47.4034976212,9.32685537403;"{""type"": ""Point"", ""coordinates"": [9.326855374026556, 47.40349762119715]}";unbekannt;Kindergärten;Kindergarten Hinterberg II;;;;;;Hinterberg 61;St.Gallen;Schweiz;;;;41714992017;;;9014
47.4170180151,9.36562696852;"{""type"": ""Point"", ""coordinates"": [9.365626968522783, 47.41701801512785]}";;Kindergärten;Kindergarten Tschudiwies I;;;;;;Tschudistrasse 21;St. Gallen;Schweiz;;;;41714992118;;;9000
47.4334231484,9.39702470284;"{""type"": ""Point"", ""coordinates"": [9.397024702841062, 47.4334231483881]}";;Kindergärten;Kindergarten Wiesentalstrasse 23 III;;;;;;Wiesentalstrasse 23;St.Gallen;Schweiz;;;;;;;9000
47.4028477014,9.299220651;"{""type"": ""Point"", ""coordinates"": [9.29922065099667, 47.40284770142121]}";;Kindergärten;Kindergarten Kreuzbühlstrasse 18;;;;;;Kreuzbühlstrasse 18;St.Gallen;Schweiz;;;;;;;9015
47.4424925119,9.4113457741;"{""type"": ""Point"", ""coordinates"": [9.411345774102104, 47.442492511904085]}";bedingt behindertengerecht;Schulhäuser;Schulpavillon Oberzil;Primarschule;;;;;Brauerstrasse 82a;St.Gallen;Schweiz;;;nur Erdgeschoss, kein WC;;;;9016
47.4220089986,9.34667552761;"{""type"": ""Point"", ""coordinates"": [9.346675527612451, 47.42200899857032]}";;Kindergärten;Kindergarten Zwyssigstrasse 16;;;;;;Zwyssigstrasse 16;St.Gallen;Schweiz;;;;41714992143;;;9000
47.4166997714,9.35340447347;"{""type"": ""Point"", ""coordinates"": [9.353404473471313, 47.416699771385794]}";;Kindergärten;Kindergarten Burgstrasse 102;;;;;;Burgstrasse 102;St.Gallen;Schweiz;;;;41714992297;;;9000
47.4107442173,9.33479292965;"{""type"": ""Point"", ""coordinates"": [9.33479292965381, 47.410744217287416]}";unbekannt;Kindergärten;Kindergarten Alpsteinstrasse 7II;;;;;;Alpsteinstrasse 7;St.Gallen;Schweiz;;;;41714992648;;;9014
47.4349894,9.4102853548;"{""type"": ""Point"", ""coordinates"": [9.410285354800507, 47.43498939999597]}";unbekannt;Kindergärten;Kindergarten Achslenweg 10a I/II;;;;;;Achslenweg 10;St.Gallen;Schweiz;;;;41714992168;;;9016
47.4038371231,9.3413931111;"{""type"": ""Point"", ""coordinates"": [9.341393111098778, 47.403837123140086]}";unbekannt;Kindergärten;Kindergarten Haselstrasse;;;;;;Haselstrasse 20;St.Gallen;Schweiz;;;;41714992015;;;9014
47.4126293522,9.36675136712;"{""type"": ""Point"", ""coordinates"": [9.366751367116377, 47.41262935224272]}";unbekannt;Kindergärten;Kindergarten Obere Berneggstrasse;;;;;;Obere Berneggstrasse 81;St.Gallen;Schweiz;;;;41714992239;;;9012
47.4365002049,9.37540525672;"{""type"": ""Point"", ""coordinates"": [9.375405256719766, 47.43650020488018]}";unbekannt;Kindergärten;Kindergarten Waldgutstrasse 6a I;;;;;;Waldgutstrasse 6a;St.Gallen;Schweiz;;;;41714992217;;;9010
47.4266191619,9.37265097463;"{""type"": ""Point"", ""coordinates"": [9.372650974632304, 47.4266191619405]}";unbekannt;Kindergärten;Kindergarten Zwinglistrasse;;;;;;Zwinglistrasse 5;St.Gallen;Schweiz;;;;41714992117;;;9000
47.4217639846,9.35160234696;"{""type"": ""Point"", ""coordinates"": [9.35160234696403, 47.42176398458051]}";bedingt behindertengerecht;Schulhäuser;Schulhaus Feldli;Primarschule;;;;;Rosenfeldweg 9;St.Gallen;Schweiz;;;Nur Nordtrakt mit WC und Lift;41714992240;;41712776718;9000
47.4381393191,9.38600768358;"{""type"": ""Point"", ""coordinates"": [9.38600768357553, 47.43813931905012]}";;Schulhäuser;Schulhaus Gerhalden;Primarschule;;;;;Lessingstrasse 46;St.Gallen;Schweiz;;;;41714992299;;;9008
47.4373352871,9.3903864062;"{""type"": ""Point"", ""coordinates"": [9.390386406198248, 47.43733528707581]}";nicht behindertengerecht;Schulhäuser;Schulhaus Heimat;Primarschule;;;;;Heimatstrasse 9;St.Gallen;Schweiz;;;;41714992160;;41712456602;9008
47.4242166852,9.35979374826;"{""type"": ""Point"", ""coordinates"": [9.359793748262554, 47.42421668517838]}";nicht behindertengerecht;Schulhäuser;Schulhaus Schoren;Primarschule;;;;;Dietlistrasse 15;St.Gallen;Schweiz;;;;41714992270;;;9000
47.4370039205,9.38678710962;"{""type"": ""Point"", ""coordinates"": [9.38678710962321, 47.43700392054907]}";unbekannt;Kindergärten;Kindergarten Iddastrasse 23;;;;;;Iddastrasse 23;St.Gallen;Schweiz;;;;41714992215;;;9008
47.4163443624,9.38351815582;"{""type"": ""Point"", ""coordinates"": [9.383518155823307, 47.41634436244889]}";unbekannt;Kindergärten;Kindergarten Schokoladenweg;;;;;;Schokoladenweg 5;St.Gallen;Schweiz;;;;41714991202;;;9011
47.4426055453,9.41090621632;"{""type"": ""Point"", ""coordinates"": [9.41090621632267, 47.44260554527708]}";unbekannt;Kindergärten;Kindergarten Brauerstrasse;;;;;;Brauerstrasse 82;St.Gallen;Schweiz;;;;41714992327;;;9016
47.4170458055,9.3499343434;"{""type"": ""Point"", ""coordinates"": [9.349934343401204, 47.41704580553457]}";hindernisfrei;Schulhäuser;Schulhaus Schönenwegen;Primarschule;;;;;Zürcher Strasse 67;St.Gallen;Schweiz;;;;41714992280;;41712773829;9000
